song_name,duration,artist,album,album_cover,played_at
Iris,289533,The Goo Goo Dolls,Dizzy up the Girl,https://i.scdn.co/image/ab67616d0000b273eda9478c39a21e1cdc6609ca,2022-06-19T01:32:00.650Z
A Sky Full of Stars,267866,Coldplay,Ghost Stories,https://i.scdn.co/image/ab67616d0000b273f864bcdcc245f06831d17ae0,2022-06-19T01:18:34.759Z
Viva La Vida,242373,Coldplay,Viva La Vida or Death and All His Friends,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,2022-06-19T01:14:06.622Z
Eye of the Tiger,245640,Various Artists,Rocky IV,https://i.scdn.co/image/ab67616d0000b273f4a2ccbe20d6d52f16816812,2022-06-19T00:18:40.664Z
Beat It,258040,Michael Jackson,Thriller 25 Super Deluxe Edition,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be,2022-06-19T00:14:34.010Z
Everybody Wants To Rule The World,251488,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235,2022-06-19T00:10:15.528Z
Rock You Like A Hurricane,252493,Scorpions,Love At First Sting,https://i.scdn.co/image/ab67616d0000b273926764eed4da16a86b9ce33e,2022-06-19T00:06:03.706Z
Jump - 2015 Remaster,241599,Van Halen,1984 (Remastered),https://i.scdn.co/image/ab67616d0000b273b414c63fb435b622238c15ed,2022-06-19T00:01:50.795Z
"Hearts On Fire - From ""Rocky IV"" Soundtrack",252920,Various Artists,Rocky IV,https://i.scdn.co/image/ab67616d0000b273f4a2ccbe20d6d52f16816812,2022-06-18T23:57:48.701Z
Separate Ways (Worlds Apart),323706,Journey,Frontiers,https://i.scdn.co/image/ab67616d0000b273b9021ad16733196aacf253c1,2022-06-18T23:53:35.531Z
Don't Stop Believin',250986,Journey,Escape,https://i.scdn.co/image/ab67616d0000b273c5653f9038e42efad2f8a266,2022-06-18T23:48:11.473Z
Know Yourself,275840,Drake,If You're Reading This It's Too Late,https://i.scdn.co/image/ab67616d0000b2732090f4f6cc406e6d3c306733,2022-06-18T23:43:44.758Z
Ojitos Lindos,258298,Bad Bunny,Un Verano Sin Ti,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,2022-06-18T23:39:07.920Z
Running Up That Hill (A Deal With God) - 2018 Remaster,300840,Kate Bush,Hounds of Love (2018 Remaster),https://i.scdn.co/image/ab67616d0000b2735c390e413e27798edd4d18b4,2022-06-18T23:34:49.245Z
Creep,238640,Radiohead,Pablo Honey,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95,2022-06-18T21:27:22.420Z
Faint,162600,Linkin Park,Meteora,https://i.scdn.co/image/ab67616d0000b273b4ad7ebaf4575f120eb3f193,2022-06-18T21:27:12.773Z
